id,item_name,category,price,item_count
763789,Bread Salad,Menu,4.063951219512198,820
396856,Wurstfest mit dessert + Leberwurst + Kartoffelwurst + Blutwurst + Schwartenwurst + Engadinerwurst,Japanisch Abend + Japanisch Abend + Japanisch Abend + Japanisch Abend + Japanisch Abend + Japanisch Abend,36.0,4
1407004,Berentzen Apfel 4cl,Spirituosen 4cl,3.899999999999999,14
1639304,Tee + Chai Chai,Heisse Getränke + AF Tee,3.0999999999999983,35
348393,"Scheurebe Fl 0,75l",Weissweine offen,28.0,2
1748050,GV Lagler 1/8l,Offen Weiss,5.699999999999996,48
182249,MEZCAL Los Danz. 4cl,Agaven,9.0,3
1067188,Spalmabile Pistacchio,Cioccolato,14.900000000000002,10
165363,Bavette Lady + Trüffel Pommes + Medium Well,Cuts + Side Dishes + Abfrage Garstufe,27.0,2
675382,BBQ-BURGER + Steak Fries groß + Sweet Potato Fries groß,Burger + Beilagen* #1 + Beilagen* #1,23.0,1
320360,"R. Duvernay, Saint Joseph 0,75l",Frankreich,23.900000000000002,2
65331,5er + ToGo ohne Tüte + Vollmilch Schoko + MI Weiße Schokolade + TI Oreo + TI Haselnusskrokant + FI Bananen,Abfrage Größe + Abfrage Größe + Abfrage Füllung + Abfrage Soße + Abfrage Topping + Abfrage Topping + Abfrage Früchte,4.9,1
1812368,Americano,COFFEE & TEA,2.132500000000002,164
504138,"Selters Medium 0,75",Kaltgetränke,6.0,319
1843020,"hip hip j, l’octavin 0.75",Wine White,60.0,4
94344,Wrap Avocado Ei MENU + Mit Zwiebeln #1 + Mit Peperoni + Mit Salat* #1 + Mit Rotkohl* #1 + Mit Bohnen + Joghurt + MITNEHMEN,Wraps + Zutaten Bowl/Wrap + Zutaten Bowl/Wrap + Zutaten Bowl/Wrap + Zutaten Bowl/Wrap + Zutaten Bowl/Wrap + Saucen + MITNEHMEN,19.900000000000002,1
490353,SCHMIED Menü 200g + Hausg. Bacon + Ohne + Medium + Ohne,Menü + Extras + Extras + Abfrage Steak + Extras,5.55,6
359817,Giusti Balsamessig 50 ml.,Wilk-Feinkost,12.9,1
679655,Baileys on Ice 2cl,Liköre 2cl,1.8562499999999997,16
1733751,"Peth-Wetz Chardonnay u.f. 0,75",Wein,16.723999999999986,50
2046232,"Cuvée Scheibelhofer 0,75l",Rotweine,35.0,5
1578551,Bolgheri Sassicaia D.O.C.,"Rotweine 0,75l",273.0,2
1711921,Perlhuhnbrust,Tagesessen,12.899999999999993,31
1034113,"Maracujasch. 0,4l",Saftschorlen,3.6000000000000125,192
935050,4er Box + Bratapfel Donut* + Erdnuss Karamell Torte* + Rentier Cupcake* + Bienenstich Donut* + 0x Glas Pfand,Box Deals + Abfrage Box Deal + Abfrage Box Deal + Abfrage Box Deal + Abfrage Box Deal + Abfrage Pfand 4er Box,13.5,1
685687,Minztee mit Zitrone,Frischer Tee,3.7000000000000024,172
771692,Nuggets mit Pommes,Kleinigkeiten,6.1332432432432435,37
492820,Chicken Burger,Mittagstisch,8.84066666666667,15
699450,Gl Süßwein,Glas Wein,4.5,2
225606,Spätburgunder Rose 0.2,WEINE,5.124545454545451,44
